date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:34:09	12220/12220	---M--	200	added ('OK')	text/html	etag:%222fbc-5736c674baf60%22	http://www.innovationplans.com/idesign/arco/fonts/fa-regular-400.woff2	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/fonts/fa-regular-401.html	(from http://www.innovationplans.com/idesign/arco/css/plugins/fontawesome-all.min.css)
18:34:09	14712/14712	---M--	200	added ('OK')	text/html	etag:%223978-5736c674bbed3%22	http://www.innovationplans.com/idesign/arco/fonts/fa-regular-400.woff	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/fonts/fa-regular-402.html	(from http://www.innovationplans.com/idesign/arco/css/plugins/fontawesome-all.min.css)
18:34:11	404/404	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2031%20Mar%202020%2013:04:11%20GMT	http://www.innovationplans.com/idesign/arco/fonts/fa-regular-400.svg	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/fonts/fa-regular-400.svg	(from http://www.innovationplans.com/idesign/arco/css/plugins/fontawesome-all.min.css)
18:34:11	30928/30928	---M--	200	added ('OK')	text/html	etag:%2278d0-5736c67373547%22	http://www.innovationplans.com/idesign/arco/fonts/fa-regular-400.ttf	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/fonts/fa-regular-403.html	(from http://www.innovationplans.com/idesign/arco/css/plugins/fontawesome-all.min.css)
18:34:14	29208/29208	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2031%20Mar%202020%2013:04:13%20GMT	https://www.innovationplans.com/idesign/arco/fonts/fa-regular-400.svg	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/fonts/fa-regular-400.svg	(from http://www.innovationplans.com/idesign/arco/css/plugins/fontawesome-all.min.css)
18:34:17	102152/102152	---M--	200	added ('OK')	text/html	etag:%2218f08-5736c6770d329%22	http://www.innovationplans.com/idesign/arco/fonts/fa-solid-900.eot	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/fonts/fa-solid-900.html	(from http://www.innovationplans.com/idesign/arco/css/plugins/fontawesome-all.min.css)
18:34:17	102152/102152	---M--	200	added ('OK')	text/html	etag:%2218f08-5736c6770d329%22	http://www.innovationplans.com/idesign/arco/fonts/fa-solid-900.eot?	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/fonts/fa-solid-900d41d.html	(from http://www.innovationplans.com/idesign/arco/css/plugins/fontawesome-all.min.css)
18:34:19	38784/38784	---M--	200	added ('OK')	text/html	etag:%229780-5736c679b7cc1%22	http://www.innovationplans.com/idesign/arco/fonts/fa-solid-900.woff2	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/fonts/fa-solid-901.html	(from http://www.innovationplans.com/idesign/arco/css/plugins/fontawesome-all.min.css)
18:34:20	48704/48704	---M--	200	added ('OK')	text/html	etag:%22be40-5736c679c76dd%22	http://www.innovationplans.com/idesign/arco/fonts/fa-solid-900.woff	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/fonts/fa-solid-902.html	(from http://www.innovationplans.com/idesign/arco/css/plugins/fontawesome-all.min.css)
18:34:22	101932/101932	---M--	200	added ('OK')	text/html	etag:%2218e2c-5736c6770dadf%22	http://www.innovationplans.com/idesign/arco/fonts/fa-solid-900.ttf	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/fonts/fa-solid-903.html	(from http://www.innovationplans.com/idesign/arco/css/plugins/fontawesome-all.min.css)
18:34:23	402/402	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2031%20Mar%202020%2013:04:23%20GMT	http://www.innovationplans.com/idesign/arco/fonts/fa-solid-900.svg	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/fonts/fa-solid-900.svg	(from http://www.innovationplans.com/idesign/arco/css/plugins/fontawesome-all.min.css)
18:34:25	29208/29208	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2031%20Mar%202020%2013:04:24%20GMT	https://www.innovationplans.com/idesign/arco/fonts/fa-solid-900.svg	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/fonts/fa-solid-900.svg	(from http://www.innovationplans.com/idesign/arco/css/plugins/fontawesome-all.min.css)
18:34:27	400/400	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2031%20Mar%202020%2013:04:27%20GMT	http://www.innovationplans.com/idesign/arco/css/images/close.png	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/css/images/close.png	(from http://www.innovationplans.com/idesign/arco/css/plugins/YouTubePopUp.css)
18:34:29	29208/29208	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2031%20Mar%202020%2013:04:28%20GMT	https://www.innovationplans.com/idesign/arco/css/images/close.png	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/css/images/close.png	(from http://www.innovationplans.com/idesign/arco/css/plugins/YouTubePopUp.css)
18:34:30	410/410	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2031%20Mar%202020%2013:04:31%20GMT	http://www.innovationplans.com/idesign/arco/css/plugins/owl.video.play.png	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/css/plugins/owl.video.play.png	(from http://www.innovationplans.com/idesign/arco/css/plugins/owl.carousel.min.css)
